paradigm,subject,fold,permute_k,split,calib_size,seed,n_val,baseline_auc,status,accepted,adapted_auc,deployed_auc,delta_auc,internal_val_auc,best_epoch
p300,2,version_34,0,temporal_array,24,43,6,0.7402127554056734,ungateable,,,0.7402127554056734,0.0,,
p300,2,version_34,0,temporal_array,24,44,6,0.7402127554056734,ungateable,,,0.7402127554056734,0.0,,
p300,2,version_34,0,temporal_array,24,45,6,0.7402127554056734,ungateable,,,0.7402127554056734,0.0,,
p300,2,version_34,0,temporal_array,24,46,6,0.7402127554056734,ungateable,,,0.7402127554056734,0.0,,
p300,2,version_34,0,temporal_array,48,42,12,0.7413775510204081,ok,0,0.7424795918367348,0.7413775510204081,0.0,0.8,0
p300,2,version_34,0,temporal_array,48,43,12,0.7413775510204081,ok,0,0.7414744897959183,0.7413775510204081,0.0,0.6,0
p300,2,version_34,0,temporal_array,48,44,12,0.7413775510204081,ok,0,0.7424553571428572,0.7413775510204081,0.0,0.75,0
p300,2,version_34,0,temporal_array,48,45,12,0.7413775510204081,ok,0,0.7422933673469387,0.7413775510204081,0.0,0.7999999999999999,0
p300,2,version_34,0,temporal_array,48,46,12,0.7413775510204081,ok,0,0.7415994897959185,0.7413775510204081,0.0,0.6,0
p300,2,version_34,0,temporal_array,96,42,24,0.7408899221453288,ok,1,0.7529438797577855,0.7529438797577855,0.012053957612456756,0.8500000000000001,21
p300,2,version_34,0,temporal_array,96,43,24,0.7408899221453288,ok,1,0.7515138408304498,0.7515138408304498,0.010623918685121025,0.7625,20
p300,2,version_34,0,temporal_array,96,44,24,0.7408899221453288,ok,1,0.7534061418685122,0.7534061418685122,0.012516219723183397,0.825,13
p300,2,version_34,0,temporal_array,96,45,24,0.7408899221453288,ok,0,0.7436716046712801,0.7408899221453288,0.0,0.7999999999999999,1
p300,2,version_34,0,temporal_array,96,46,24,0.7408899221453288,ok,1,0.7531466262975779,0.7531466262975779,0.01225670415224911,0.7,17
p300,2,version_34,0,temporal_array,240,42,60,0.7404428980228929,ok,1,0.7505560613943808,0.7505560613943808,0.010113163371487932,0.738,4
p300,2,version_34,0,temporal_array,240,43,60,0.7404428980228929,ok,1,0.7497723725286161,0.7497723725286161,0.00932947450572319,0.706,4
p300,2,version_34,0,temporal_array,240,44,60,0.7404428980228929,ok,1,0.7538273933402707,0.7538273933402707,0.013384495317377842,0.856,37
p300,2,version_34,0,temporal_array,240,45,60,0.7404428980228929,ok,0,0.7423842351716963,0.7404428980228929,0.0,0.772,0
p300,2,version_34,0,temporal_array,240,46,60,0.7404428980228929,ok,0,0.7477269771071801,0.7404428980228929,0.0,0.754,2
p300,2,version_34,0,temporal_array,480,42,120,0.7385308801775148,ok,1,0.7486177884615385,0.7486177884615385,0.010086908284023699,0.7415,1
p300,2,version_34,0,temporal_array,480,43,120,0.7385308801775148,ok,1,0.7542113535502959,0.7542113535502959,0.015680473372781112,0.75,27
p300,2,version_34,0,temporal_array,480,44,120,0.7385308801775148,ok,1,0.752500924556213,0.752500924556213,0.013970044378698199,0.813,2
p300,2,version_34,0,temporal_array,480,45,120,0.7385308801775148,ok,1,0.7541697485207102,0.7541697485207102,0.01563886834319539,0.7759999999999999,12
p300,2,version_34,0,temporal_array,480,46,120,0.7385308801775148,ok,0,0.7433755547337277,0.7385308801775148,0.0,0.8055,0
p300,3,version_32,0,stratified,24,42,6,0.7419150466177346,ungateable,,,0.7419150466177346,0.0,,
p300,3,version_32,0,stratified,24,43,6,0.740176800238048,ungateable,,,0.740176800238048,0.0,,
p300,3,version_32,0,stratified,24,44,6,0.7416026086094029,ungateable,,,0.7416026086094029,0.0,,
p300,3,version_32,0,stratified,24,45,6,0.7408562289228328,ungateable,,,0.7408562289228328,0.0,,
p300,3,version_32,0,stratified,24,46,6,0.7410694802618527,ungateable,,,0.7410694802618527,0.0,,
p300,3,version_32,0,stratified,48,42,12,0.7422742346938775,ok,1,0.7366760204081634,0.7366760204081634,-0.005598214285714165,0.75,11
p300,3,version_32,0,stratified,48,43,12,0.7416084183673468,ok,0,0.7413137755102042,0.7416084183673468,0.0,1.0,0
p300,3,version_32,0,stratified,48,44,12,0.7411109693877551,ok,0,0.7405637755102042,0.7411109693877551,0.0,0.55,0
p300,3,version_32,0,stratified,48,45,12,0.7397640306122449,ok,0,0.7390561224489797,0.7397640306122449,0.0,1.0,0
p300,3,version_32,0,stratified,48,46,12,0.740858418367347,ok,1,0.7274591836734694,0.7274591836734694,-0.013399234693877604,0.9,13
p300,3,version_32,0,stratified,96,42,24,0.7384231725778547,ok,0,0.7374810769896193,0.7384231725778547,0.0,0.8,0
p300,3,version_32,0,stratified,96,43,24,0.7397775194636679,ok,0,0.7386624134948097,0.7397775194636679,0.0,0.8374999999999999,0
p300,3,version_32,0,stratified,96,44,24,0.7383988429930796,ok,1,0.7365862889273356,0.7365862889273356,-0.0018125540657439876,0.6875,1
p300,3,version_32,0,stratified,96,45,24,0.7406696042387544,ok,0,0.7397869809688582,0.7406696042387544,0.0,0.8875,0
p300,3,version_32,0,stratified,96,46,24,0.7378960315743943,ok,0,0.7368593209342561,0.7378960315743943,0.0,0.825,0
p300,3,version_32,0,stratified,240,42,60,0.7422915582726327,ok,1,0.7303687565036421,0.7303687565036421,-0.011922801768990632,0.75,4
p300,3,version_32,0,stratified,240,43,60,0.7411241545265348,ok,0,0.7387649583766909,0.7411241545265348,0.0,0.716,0
p300,3,version_32,0,stratified,240,44,60,0.7403469693028097,ok,0,0.7386088709677419,0.7403469693028097,0.0,0.696,0
p300,3,version_32,0,stratified,240,45,60,0.7378089229968783,ok,0,0.7360334287200831,0.7378089229968783,0.0,0.734,0
p300,3,version_32,0,stratified,240,46,60,0.737186199271592,ok,1,0.708041753381894,0.708041753381894,-0.029144445889698,0.838,22
p300,3,version_32,0,stratified,480,42,120,0.7441175110946745,ok,1,0.7386788091715977,0.7386788091715977,-0.005438701923076827,0.756,0
p300,3,version_32,0,stratified,480,43,120,0.7420927329881657,ok,0,0.7399223372781064,0.7420927329881657,0.0,0.7509999999999999,0
p300,3,version_32,0,stratified,480,44,120,0.7298238720414202,ok,0,0.726090976331361,0.7298238720414202,0.0,0.654,0
