paradigm,subject,fold,calib_size,coverage_target,seed,status,n_pos,n_task_neg,n_base_neg,calib_pos_rate,calib_baseline_frac,n_eval,baseline_auc,adapted_auc,delta_auc
mi,99,version_30,50,0.75,42,ok,19,8,23,0.38,0.46,184,0.7772653620840084,0.637666708213885,-0.13959865387012338
mi,99,version_30,50,0.75,43,ok,19,8,23,0.38,0.46,184,0.7436121151688895,0.6498815904275209,-0.09373052474136856
mi,99,version_30,50,0.75,44,ok,19,8,23,0.38,0.46,184,0.7600648136607255,0.6736881465785866,-0.08637666708213898
mi,99,version_30,50,0.75,45,ok,19,8,23,0.38,0.46,184,0.7513398977938427,0.6715692384394866,-0.07977065935435612
mi,99,version_30,50,0.75,46,ok,19,8,23,0.38,0.46,184,0.7193069923968591,0.69724541941917,-0.02206157297768918
mi,99,version_30,50,1.0,42,ok,19,0,31,0.38,0.62,184,0.7255390751589181,0.6751838464414807,-0.05035522871743747
mi,99,version_30,50,1.0,43,ok,19,0,31,0.38,0.62,184,0.7620590801445843,0.6495076654617974,-0.11255141468278695
mi,99,version_30,50,1.0,44,ok,19,0,31,0.38,0.62,184,0.7442353234450954,0.6695749719556277,-0.0746603514894677
mi,99,version_30,50,1.0,45,ok,19,0,31,0.38,0.62,184,0.7310233079895301,0.6406581079396735,-0.0903652000498566
mi,99,version_30,50,1.0,46,ok,19,0,31,0.38,0.62,184,0.7482238564128133,0.6718185217499688,-0.07640533466284449
mi,99,version_30,100,0.0,42,ok,38,62,0,0.38,0.0,134,0.7753283302063789,0.6993433395872419,-0.075984990619137
mi,99,version_30,100,0.0,43,ok,38,62,0,0.38,0.0,134,0.7659474671669794,0.5792682926829268,-0.18667917448405258
mi,99,version_30,100,0.0,44,ok,38,62,0,0.38,0.0,134,0.7926829268292682,0.6805816135084428,-0.1121013133208254
mi,99,version_30,100,0.0,45,ok,38,62,0,0.38,0.0,134,0.7809568480300187,0.6421200750469044,-0.13883677298311436
mi,99,version_30,100,0.0,46,ok,38,62,0,0.38,0.0,134,0.7715759849906191,0.7068480300187617,-0.06472795497185735
mi,99,version_30,100,0.25,42,ok,38,46,16,0.38,0.16,134,0.7825984990619138,0.7375703564727956,-0.04502814258911825
mi,99,version_30,100,0.25,43,ok,38,46,16,0.38,0.16,134,0.7535178236397748,0.7021575984990619,-0.05136022514071292
